Batang_stok,Panjang_stok_mm,ID_potongan,Panjang_potongan_mm,Sumber,Kg_stok_1.6_sekali_per_batang,Kg_stok_2.0_sekali_per_batang,Kg_stok_2.3_sekali_per_batang,Alokasi_kg_potongan_2.3
86,6000,1678431,1981.9938,Revit,22.61,28.26,32.5,10.833333333333332
86,6000,1678443,1981.9938,Revit,,,,10.833333333333332
86,6000,1678467,1981.9938,Revit,,,,10.833333333333332
87,6000,1678479,1981.9938,Revit,22.61,28.26,32.5,10.833333333333332
87,6000,1682257,1981.9938,Revit,,,,10.833333333333332
87,6000,1682279,1981.9938,Revit,,,,10.833333333333332
88,6000,1682301,1981.9938,Revit,22.61,28.26,32.5,11.029943288240615
88,6000,1690386,1929.0,Revit,,,,10.735028355879692
88,6000,1690396,1929.0,Revit,,,,10.735028355879692
89,6000,1690391,1927.9999,Revit,22.61,28.26,32.5,10.783554171729412
89,6000,1690400,1927.9999,Revit,,,,10.783554171729412
89,6000,1690651,1694.0001,Revit,,,,9.474762655650748
89,6000,1685697S0,260.7,Usulan tangga,,,,1.4581290008904275
90,6000,1694607,1524.0,Revit,22.61,28.26,32.5,8.385534854979028
90,6000,1694611,1524.0,Revit,,,,8.385534854979028
90,6000,1694615,1524.0,Revit,,,,8.385534854979028
90,6000,1690320,874.0,Revit,,,,4.809027092409806
90,6000,1685895S0,460.6,Usulan tangga,,,,2.53436834265311
91,6000,1678289,1481.9999,Revit,22.61,28.26,32.5,8.125
91,6000,1678364,1481.9999,Revit,,,,8.125
91,6000,1678393,1481.9999,Revit,,,,8.125
91,6000,1678417,1481.9999,Revit,,,,8.125
92,6000,1678429,1481.9999,Revit,22.61,28.26,32.5,8.125
92,6000,1678441,1481.9999,Revit,,,,8.125
92,6000,1678465,1481.9999,Revit,,,,8.125
92,6000,1678477,1481.9999,Revit,,,,8.125
93,6000,1678489,1481.9999,Revit,22.61,28.26,32.5,8.125
93,6000,1682253,1481.9999,Revit,,,,8.125
93,6000,1682275,1481.9999,Revit,,,,8.125
93,6000,1682297,1481.9999,Revit,,,,8.125
94,6000,1690201,1481.9999,Revit,22.61,28.26,32.5,8.230519295012918
94,6000,1690322,874.0,Revit,,,,4.853896140997416
94,6000,1690324,874.0,Revit,,,,4.853896140997416
94,6000,1690326,874.0,Revit,,,,4.853896140997416
94,6000,1690328,874.0,Revit,,,,4.853896140997416
94,6000,1690330,874.0,Revit,,,,4.853896140997416
95,6000,1690332,874.0,Revit,22.61,28.26,32.5,4.76170518134223
95,6000,1690334,874.0,Revit,,,,4.76170518134223
95,6000,1690336,874.0,Revit,,,,4.76170518134223
95,6000,1690338,874.0,Revit,,,,4.76170518134223
95,6000,1690340,874.0,Revit,,,,4.76170518134223
95,6000,1690342,874.0,Revit,,,,4.76170518134223
95,6000,1685895S1,460.6,Usulan tangga,,,,2.509429586638863
95,6000,1685697S1,260.7,Usulan tangga,,,,1.4203393253077543
96,6000,1690344,874.0,Revit,22.61,28.26,32.5,4.76170518134223
96,6000,1690346,874.0,Revit,,,,4.76170518134223
96,6000,1690348,874.0,Revit,,,,4.76170518134223
96,6000,1690350,874.0,Revit,,,,4.76170518134223
96,6000,1690352,874.0,Revit,,,,4.76170518134223
96,6000,1690354,874.0,Revit,,,,4.76170518134223
96,6000,1685932S0,460.6,Usulan tangga,,,,2.509429586638863
96,6000,1685725S0,260.7,Usulan tangga,,,,1.4203393253077543
97,6000,1690356,874.0,Revit,22.61,28.26,32.5,4.819798337887062
97,6000,1690364,874.0,Revit,,,,4.819798337887062
97,6000,1685932S1,460.6,Usulan tangga,,,,2.540044813802875
97,6000,1685969S0,460.6,Usulan tangga,,,,2.540044813802875
97,6000,1685969S1,460.6,Usulan tangga,,,,2.540044813802875
97,6000,1686006S0,460.6,Usulan tangga,,,,2.540044813802875
97,6000,1686006S1,460.6,Usulan tangga,,,,2.540044813802875
97,6000,1686043S0,460.6,Usulan tangga,,,,2.540044813802875
97,6000,1686043S1,460.6,Usulan tangga,,,,2.540044813802875
97,6000,1686482S0,460.6,Usulan tangga,,,,2.540044813802875
97,6000,1686482S1,460.6,Usulan tangga,,,,2.540044813802875
98,6000,1686482S2,460.6,Usulan tangga,22.61,28.26,32.5,2.533124629833319
98,6000,1686482S3,460.6,Usulan tangga,,,,2.533124629833319
98,6000,1686526S0,460.6,Usulan tangga,,,,2.533124629833319
98,6000,1686526S1,460.6,Usulan tangga,,,,2.533124629833319
98,6000,1686557S0,460.6,Usulan tangga,,,,2.533124629833319
98,6000,1686557S1,460.6,Usulan tangga,,,,2.533124629833319
98,6000,1686591S0,460.6,Usulan tangga,,,,2.533124629833319
98,6000,1686591S1,460.6,Usulan tangga,,,,2.533124629833319
98,6000,1686640S0,460.6,Usulan tangga,,,,2.533124629833319
98,6000,1686640S1,460.6,Usulan tangga,,,,2.533124629833319
98,6000,1685725S1,260.7,Usulan tangga,,,,1.4337507403333616
98,6000,1685734S0,260.7,Usulan tangga,,,,1.4337507403333616
98,6000,1685734S1,260.7,Usulan tangga,,,,1.4337507403333616
98,6000,1685762S0,260.7,Usulan tangga,,,,1.4337507403333616
98,6000,1685762S1,260.7,Usulan tangga,,,,1.4337507403333616
99,6000,1685771S0,260.7,Usulan tangga,22.61,28.26,32.5,1.4772727272727273
99,6000,1685771S1,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685808S0,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685808S1,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685836S0,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685836S1,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685845S0,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685845S1,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685873S0,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685873S1,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685886S0,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685886S1,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685914S0,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685914S1,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685923S0,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685923S1,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685951S0,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685951S1,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685960S0,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685960S1,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685988S0,260.7,Usulan tangga,,,,1.4772727272727273
99,6000,1685988S1,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1685997S0,260.7,Usulan tangga,22.61,28.26,32.5,1.4772727272727273
100,6000,1685997S1,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686025S0,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686025S1,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686034S0,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686034S1,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686494S0,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686494S1,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686494S2,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686494S3,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686508S0,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686508S1,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686518S0,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686518S1,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686538S0,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686538S1,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686548S0,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686548S1,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686572S0,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686572S1,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686582S0,260.7,Usulan tangga,,,,1.4772727272727273
100,6000,1686582S1,260.7,Usulan tangga,,,,1.4772727272727273
101,6000,1686606S0,260.7,Usulan tangga,22.61,28.26,32.5,5.416666666666667
101,6000,1686606S1,260.7,Usulan tangga,,,,5.416666666666667
101,6000,1686616S0,260.7,Usulan tangga,,,,5.416666666666667
101,6000,1686616S1,260.7,Usulan tangga,,,,5.416666666666667
101,6000,1686631S0,260.7,Usulan tangga,,,,5.416666666666667
101,6000,1686631S1,260.7,Usulan tangga,,,,5.416666666666667
