Profil,Stok,ID,Panjang_mm,Kerf_mm
SHS40x40,1,1686482C0,2000.0,3
SHS40x40,1,1686482C1,2000.0,3
SHS40x40,1,1686508C0,800.0,3
SHS40x40,1,1686508C1,800.0,3
SHS40x40,2,1686482C2,2000.0,3
SHS40x40,2,1686482C3,2000.0,3
SHS40x40,2,1686508C2,800.0,3
SHS40x40,2,1686518C0,800.0,3
SHS40x40,3,1686482C4,2000.0,3
SHS40x40,3,1686494C0,2000.0,3
SHS40x40,3,1686518C1,800.0,3
SHS40x40,3,1686518C2,800.0,3
SHS40x40,4,1686494C1,2000.0,3
SHS40x40,4,1686494C2,2000.0,3
SHS40x40,4,1686526C0,800.0,3
SHS40x40,4,1686526C1,800.0,3
SHS40x40,5,1686526C2,800.0,3
SHS40x40,5,1686526C3,800.0,3
SHS40x40,5,1686526C4,800.0,3
SHS40x40,5,1686538C0,800.0,3
SHS40x40,5,1686538C1,800.0,3
SHS40x40,5,1686538C2,800.0,3
SHS40x40,5,1686548C0,800.0,3
SHS40x40,6,1686548C1,800.0,3
SHS40x40,6,1686548C2,800.0,3
SHS40x40,6,1686557C0,800.0,3
SHS40x40,6,1686557C1,800.0,3
SHS40x40,6,1686557C2,800.0,3
SHS40x40,6,1686557C3,800.0,3
SHS40x40,6,1686557C4,800.0,3
SHS40x40,7,1686572C0,800.0,3
SHS40x40,7,1686572C1,800.0,3
SHS40x40,7,1686572C2,800.0,3
SHS40x40,7,1686582C0,800.0,3
SHS40x40,7,1686582C1,800.0,3
SHS40x40,7,1686582C2,800.0,3
SHS40x40,7,1686591C0,800.0,3
SHS40x40,8,1686591C1,800.0,3
SHS40x40,8,1686591C2,800.0,3
SHS40x40,8,1686591C3,800.0,3
SHS40x40,8,1686591C4,800.0,3
SHS40x40,8,1686606C0,800.0,3
SHS40x40,8,1686606C1,800.0,3
SHS40x40,8,1686606C2,800.0,3
SHS40x40,9,1686616C0,800.0,3
SHS40x40,9,1686616C1,800.0,3
SHS40x40,9,1686616C2,800.0,3
SHS40x40,9,1686631C0,800.0,3
SHS40x40,9,1686631C1,800.0,3
SHS40x40,9,1686631C2,800.0,3
SHS40x40,9,1686640C0,800.0,3
SHS40x40,10,1686640C1,800.0,3
SHS40x40,10,1686640C2,800.0,3
SHS40x40,10,1686640C3,800.0,3
SHS40x40,10,1686640C4,800.0,3
SHS40x40,10,1685492C0,600.0,3
SHS40x40,10,1685492C1,600.0,3
SHS40x40,10,1685492C2,600.0,3
SHS40x40,10,1685502C0,600.0,3
SHS40x40,11,1685502C1,600.0,3
SHS40x40,11,1685502C2,600.0,3
SHS40x40,11,1685510C0,600.0,3
SHS40x40,11,1685510C1,600.0,3
SHS40x40,11,1685510C2,600.0,3
SHS40x40,11,1685510C3,600.0,3
SHS40x40,11,1685510C4,600.0,3
SHS40x40,11,1685524C0,600.0,3
SHS40x40,11,1685524C1,600.0,3
SHS40x40,12,1685524C2,600.0,3
SHS40x40,12,1685536C0,600.0,3
SHS40x40,12,1685536C1,600.0,3
SHS40x40,12,1685536C2,600.0,3
SHS40x40,12,1685545C0,600.0,3
SHS40x40,12,1685545C1,600.0,3
SHS40x40,12,1685545C2,600.0,3
SHS40x40,12,1685545C3,600.0,3
SHS40x40,12,1685545C4,600.0,3
SHS40x40,13,1685564C0,600.0,3
SHS40x40,13,1685564C1,600.0,3
SHS40x40,13,1685564C2,600.0,3
SHS40x40,13,1685576C0,600.0,3
SHS40x40,13,1685576C1,600.0,3
SHS40x40,13,1685576C2,600.0,3
SHS40x40,13,1685616C0,600.0,3
SHS40x40,13,1685616C1,600.0,3
SHS40x40,13,1685616C2,600.0,3
SHS40x40,14,1685625C0,600.0,3
SHS40x40,14,1685625C1,600.0,3
SHS40x40,14,1685625C2,600.0,3
SHS40x40,14,1685625C3,600.0,3
SHS40x40,14,1685625C4,600.0,3
SHS40x40,14,1685644C0,600.0,3
SHS40x40,14,1685644C1,600.0,3
SHS40x40,14,1685644C2,600.0,3
SHS40x40,14,1685656C0,600.0,3
SHS40x40,15,1685656C1,600.0,3
SHS40x40,15,1685656C2,600.0,3
SHS40x40,15,1685665C0,600.0,3
SHS40x40,15,1685665C1,600.0,3
SHS40x40,15,1685665C2,600.0,3
SHS40x40,15,1685665C3,600.0,3
SHS40x40,15,1685665C4,600.0,3
SHS40x40,15,1685684C0,600.0,3
SHS40x40,15,1685684C1,600.0,3
SHS40x40,16,1685684C2,600.0,3
SHS40x40,16,1685697C0,600.0,3
SHS40x40,16,1685697C1,600.0,3
SHS40x40,16,1685697C2,600.0,3
SHS40x40,16,1685706C0,600.0,3
SHS40x40,16,1685706C1,600.0,3
SHS40x40,16,1685706C2,600.0,3
SHS40x40,16,1685706C3,600.0,3
SHS40x40,16,1685706C4,600.0,3
SHS40x40,17,1685725C0,600.0,3
SHS40x40,17,1685725C1,600.0,3
SHS40x40,17,1685725C2,600.0,3
SHS40x40,17,1685734C0,600.0,3
SHS40x40,17,1685734C1,600.0,3
SHS40x40,17,1685734C2,600.0,3
SHS40x40,17,1685743C0,600.0,3
SHS40x40,17,1685743C1,600.0,3
SHS40x40,17,1685743C2,600.0,3
SHS40x40,18,1685743C3,600.0,3
SHS40x40,18,1685743C4,600.0,3
SHS40x40,18,1685762C0,600.0,3
SHS40x40,18,1685762C1,600.0,3
SHS40x40,18,1685762C2,600.0,3
SHS40x40,18,1685771C0,600.0,3
SHS40x40,18,1685771C1,600.0,3
SHS40x40,18,1685771C2,600.0,3
SHS40x40,18,1685808C0,600.0,3
SHS40x40,19,1685808C1,600.0,3
SHS40x40,19,1685808C2,600.0,3
SHS40x40,19,1685817C0,600.0,3
SHS40x40,19,1685817C1,600.0,3
SHS40x40,19,1685817C2,600.0,3
SHS40x40,19,1685817C3,600.0,3
SHS40x40,19,1685817C4,600.0,3
SHS40x40,19,1685836C0,600.0,3
SHS40x40,19,1685836C1,600.0,3
SHS40x40,20,1685836C2,600.0,3
SHS40x40,20,1685845C0,600.0,3
SHS40x40,20,1685845C1,600.0,3
SHS40x40,20,1685845C2,600.0,3
SHS40x40,20,1685854C0,600.0,3
SHS40x40,20,1685854C1,600.0,3
SHS40x40,20,1685854C2,600.0,3
SHS40x40,20,1685854C3,600.0,3
SHS40x40,20,1685854C4,600.0,3
SHS40x40,21,1685873C0,600.0,3
SHS40x40,21,1685873C1,600.0,3
SHS40x40,21,1685873C2,600.0,3
SHS40x40,21,1685886C0,600.0,3
SHS40x40,21,1685886C1,600.0,3
SHS40x40,21,1685886C2,600.0,3
SHS40x40,21,1685895C0,600.0,3
SHS40x40,21,1685895C1,600.0,3
SHS40x40,21,1685895C2,600.0,3
SHS40x40,22,1685895C3,600.0,3
SHS40x40,22,1685895C4,600.0,3
SHS40x40,22,1685914C0,600.0,3
SHS40x40,22,1685914C1,600.0,3
SHS40x40,22,1685914C2,600.0,3
SHS40x40,22,1685923C0,600.0,3
SHS40x40,22,1685923C1,600.0,3
SHS40x40,22,1685923C2,600.0,3
SHS40x40,22,1685932C0,600.0,3
SHS40x40,23,1685932C1,600.0,3
