stok_acuan,id_potongan,panjang_model_mm,asal,profil_acuan,panjang_final_disetujui_mm,status
21,1688004,265.9998744,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
22,1690645,5233.9999968,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
22,1685706S0,460.6,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
22,1688011,265.9998744,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
23,1690648,5233.9999968,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
23,1685706S1,460.6,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
23,1685492S0,260.7,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
24,1686889,4849.9998504000005,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
24,1678286,982.0059999999976,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
25,1686896,4849.9998504000005,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
25,1678362,982.0059999999976,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
26,1686902,4849.9998504000005,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
