profil,stok,id,komponen,panjang_mm,status
RHS50x100,56,SC-L3-P00,I01,1146.0,studi - belum fabrikasi
RHS50x100,57,1685473,X02,4754.0,studi - belum fabrikasi
RHS50x100,57,SC-L3-P01,I01,1146.0,studi - belum fabrikasi
RHS50x100,58,1685484,X02,4754.0,studi - belum fabrikasi
RHS50x100,58,SC-L3-P10,I01,1146.0,studi - belum fabrikasi
RHS50x100,59,1685488,X02,4754.0,studi - belum fabrikasi
RHS50x100,59,SC-L3-P11,I01,1146.0,studi - belum fabrikasi
RHS50x100,60,1690080,X03,4649.0001,studi - belum fabrikasi
RHS50x100,60,I3-P00,I01,1285,studi - belum fabrikasi
RHS50x100,61,1690089,X03,4649.0001,studi - belum fabrikasi
RHS50x100,61,I3-P01,I01,1285,studi - belum fabrikasi
RHS50x100,62,1685475,X02,4629.0,studi - belum fabrikasi
RHS50x100,62,I3-P10,I01,1285,studi - belum fabrikasi
RHS50x100,63,1685481,X02,4629.0,studi - belum fabrikasi
RHS50x100,63,I3-P11,I01,1285,studi - belum fabrikasi
RHS50x100,64,1694637,X06,2593.0,studi - belum fabrikasi
RHS50x100,64,1694664,X06,2593.0,studi - belum fabrikasi
RHS50x100,64,I2-P00,I01,785,studi - belum fabrikasi
RHS50x100,65,1678295,X01,2481.9876,studi - belum fabrikasi
RHS50x100,65,1678298,X01,2481.9876,studi - belum fabrikasi
RHS50x100,65,1690238,B01,922.9999,studi - belum fabrikasi
RHS50x100,66,1678385,X01,2481.9876,studi - belum fabrikasi
RHS50x100,66,1678387,X01,2481.9876,studi - belum fabrikasi
RHS50x100,66,1690358,B01,922.9999,studi - belum fabrikasi
RHS50x100,67,1678397,X01,2481.9876,studi - belum fabrikasi
RHS50x100,67,1678399,X01,2481.9876,studi - belum fabrikasi
RHS50x100,67,1690361,B01,922.9999,studi - belum fabrikasi
RHS50x100,68,1678411,X01,2481.9876,studi - belum fabrikasi
RHS50x100,68,1678421,X01,2481.9876,studi - belum fabrikasi
RHS50x100,68,1690227,B01,874.0,studi - belum fabrikasi
RHS50x100,69,1678423,X01,2481.9876,studi - belum fabrikasi
RHS50x100,69,1678433,X01,2481.9876,studi - belum fabrikasi
RHS50x100,69,1690230,B01,874.0,studi - belum fabrikasi
RHS50x100,70,1678435,X01,2481.9876,studi - belum fabrikasi
RHS50x100,70,1678445,X01,2481.9876,studi - belum fabrikasi
RHS50x100,70,1690232,B01,874.0,studi - belum fabrikasi
RHS50x100,71,1678447,X01,2481.9876,studi - belum fabrikasi
RHS50x100,71,1678459,X01,2481.9876,studi - belum fabrikasi
RHS50x100,71,1690241,B01,874.0,studi - belum fabrikasi
RHS50x100,72,1678469,X01,2481.9876,studi - belum fabrikasi
RHS50x100,72,1678471,X01,2481.9876,studi - belum fabrikasi
RHS50x100,72,1690244,B01,874.0,studi - belum fabrikasi
RHS50x100,73,1678481,X01,2481.9876,studi - belum fabrikasi
RHS50x100,73,1678483,X01,2481.9876,studi - belum fabrikasi
RHS50x100,73,1690246,B01,874.0,studi - belum fabrikasi
RHS50x100,74,1678493,X01,2481.9876,studi - belum fabrikasi
RHS50x100,74,1678495,X01,2481.9876,studi - belum fabrikasi
RHS50x100,74,1690249,B01,874.0,studi - belum fabrikasi
RHS50x100,75,1682262,X01,2481.9876,studi - belum fabrikasi
RHS50x100,75,1682284,X01,2481.9876,studi - belum fabrikasi
RHS50x100,75,1690252,B01,874.0,studi - belum fabrikasi
RHS50x100,76,1682306,X01,2481.9876,studi - belum fabrikasi
RHS50x100,76,1690209,X01,2481.9876,studi - belum fabrikasi
RHS50x100,76,1690254,B01,874.0,studi - belum fabrikasi
RHS50x100,77,1690213,X01,2481.9876,studi - belum fabrikasi
RHS50x100,77,1690217,X01,2481.9876,studi - belum fabrikasi
RHS50x100,77,1690256,B01,874.0,studi - belum fabrikasi
RHS50x100,78,1690221,X01,2481.9876,studi - belum fabrikasi
